"Statutaire naam";"Handelsnaam";"Statutaire zetel"
"R Raphael & Sons Plc";"Raphaels Bank, R Raphael & Sons Plc";"Aylesbury Buckinghamshire"
"R&P Groep B.V.";"R&P Groep B.V., R & P Groep Financiële dienstverleners, R&P Hypotheken, R&PGroep Financiële dienstverleners";"ROOSENDAAL"
"R&Q Marine Services Limited";"R&Q Marine Services Limited";"London"
"R&Quiem Financial Services Limited";"R&Quiem Financial Services Limited";""
"R&R Electric Mobility B.V.";"R&R Electric Mobility B.V., R&R Electric Mobility B.V.";"GEMEENTE UTRECHT"
"R. Bankras 'De Fietsenmaker'";"R. Bankras 'De Fietsenmaker', R. Bankras 'De Fietsenmaker'";"Amsterdam"
"R. Bossema";"Moneyplan, R. Bossema";"Eindhoven"
"R. de Kruijf";"R. de Kruijf, R. de Kruijf";"Amersfoort"
"R. de Visser";"R. de Visser, R. de Visser";"Dordrecht"
"R. de Vries Tweewielers";"R. de Vries Tweewielers, R. de Vries Tweewielers";"Lelystad"
"R. Frikken h.o.d.n. Rob Frikken Hypotheken en Financieel Advies";"R. Frikken h.o.d.n. Rob Frikken Hypotheken en Financieel Advies, Rob Frikken Hypotheken en Financieel Advies";"Almere"
"R. Hadouchi t.h.o.d.n. The Read Shop Express Utrecht";"R. Hadouchi t.h.o.d.n. The Read Shop Express Utrecht, R. Hadouchi t.h.o.d.n. The Read Shop";"Utrecht"
"R. Hoppenbrouwers B.V.";"Hypotheek Company Albrandswaard, R. Hoppenbrouwers B.V.";"SCHIEDAM"
"R. Kaffa";"Rob Kaffa verzekeringen, R. Kaffa";"Woerden"
"R. Klein t.h.o.d.n Hypotheek Visie Emmen";"R. Klein t.h.o.d.n Hypotheek Visie Emmen";"Emmen"
"R. Meijer Assurantiën";"R. Meijer Assurantiën";"Oosthuizen"
"R. Nieman Financiële Diensten B.V.";"R. Nieman Financiële Diensten B.V.";"PAPENDRECHT"
"R. Oldenburg Auto's";"R. Oldenburg Auto's, R. Oldenburg Auto's";"Loenersloot"
"R. Polderman Assurantiën en Financieel Advies B.V.";"Attentiv  R. Polderman B.V., R. Polderman assurantiën en financieel advies, R. Polderman Assurantiën en Financieel Advies B.V.";"BRUINISSE"
"R. Selles h.o.d.n. Van Bruggen Adviesgroep Hoogeveen";"R. Selles h.o.d.n. Van Bruggen Adviesgroep Hoogeveen, Van Bruggen Adviesgroep ( R. Selles)";"Emmen"
"R. Stel t.h.o.d.n. Bruna";"R. Stel t.h.o.d.n. Bruna, R. Stel t.h.o.d.n. Bruna";"Nunspeet"
"R. Straatman t.h.o.d.n. Van Bruggen Adviesgroep Emmeloord";"R. Straatman t.h.o.d.n. Van Bruggen Adviesgroep Emmeloord";"Vollenhove"
"R. van der Heide t.h.o.d.n. Van Bruggen Adviesgroep (VBA) Kanaalstreek";"R. van der Heide t.h.o.d.n. Van Bruggen Adviesgroep (VBA) Groningen, Van Bruggen Adviesgroep (VBA) Kanaalstreek, R. van der Heide t.h.o.d.n. Van Bruggen Adviesgroep (VBA) Kanaalstreek";"Groningen"
"R. van der Heijden Assurantiën B.V.";"R. van der Heijden Assurantiën B.V., R. van der Heijden Assurantiën";"MAASTRICHT"
"R. van der Meulen Consultancy";"R. van der Meulen Consultancy";"Amsterdam"
"R. van Es Assurantiën";"R. van Es Assurantiën";"De Bilt"
"R. van Joolen Assurantiën";"R. van Joolen Assurantiën";"Zwanenburg"
"R. van Overdijk Tweewielers";"R. van Overdijk Tweewielers";"Oirschot"
"R. van Zoelen services";"R. van Zoelen services, R. van Zoelen Services";"Kapel Avezaath"
"R. Vinke B.V.";"R. Vinke B.V., Boidin verzekeringen, Assurantiekantoor Boidin & Vinke";"BRESKENS"
"R.A. Investment B.V.";"R.A. Investment B.V., De Hypotheek Alliantie";"KERKDRIEL"
"R.A. Prins t.h.o.d.n. De HypoGever";"R.A. Prins t.h.o.d.n. De HypoGever, R.A. Prins t.h.o.d.n. De HypoGever, R.A. Prins t.h.o.d.n. De HypoGever";"Brielle"
"R.A. van Marwijk t.h.o.d.n. De Hypotheker Vlaardingen";"De Hypotheker Vlaardingen, R.A. van Marwijk t.h.o.d.n. De Hypotheker Vlaardingen";"Vlaardingen"
"R.A.A.F. B.V.";"R.A.A.F. B.V.";"ELST, GEMEENTE OVERBETUWE"
"R.A.C. Motors B.V.";"R.A.C. Motors B.V.";"ROTTERDAM"
"R.A.L. Slangen";"R.A.L. Slangen";"Gouda"
"R.E.A. Romijn B.V.";"R.E.A. Romijn B.V., R.E.A. Romijn B.V.";"BEUSICHEM"
"R.F. HOI IINGER INSURANCE CONSULTING";"R.F. HOI IINGER INSURANCE CONSULTING";""
"R.G.M. Goemans Holding B.V.";"Goemans Gevolmachtigden in Assurantien B.V., Goemans Makelaars in Assurantien B .V., Haags Assuradeuren Bedrijf, R.G.M. Goemans Holding B.V., Goemans Vastgoed Beheer B.V.";"'S-GRAVENHAGE"
"R.H. Jansen t.h.o.d.n. De Hypotheker Nunspeet";"R.H. Jansen t.h.o.d.n. De Hypotheker Nunspeet, R.H. Jansen t.h.o.d.n. De Hypotheker Lelystad";"Nunspeet"
"R.H.L. Finance";"R.H.L. Finance, Loeischerphypotheken.nl, R.H.L. Finance";"Alkmaar"
"R.I. Verzekeringen B.V.";"R.I. Verzekeringen B.V.";"ALMERE"
"R.I.B. International Reinsurance Brokers S.p.a.";"R.I.B. International Reinsurance Brokers S.p.a.";"MILANO"
"R.J. de Boer Financiële Dienstverlening";"R.J. de Boer Financiële Dienstverlening, R.J. de Boer Direct, R.J. de Boer Financiële Dienstverlening, r.j.deboer financieel adviseurs";"Gytsjerk"
"R.J. KILN & CO. LIMITED";"R.J. KILN & CO. LIMITED";""
"R.J. Pluim h.o. de Hypotheekgroep Zwolle";"R.J. Pluim h.o. de Hypotheekgroep Zwolle";"Zwolle"
"R.J. van Meeteren t.h.o.d.n. Van Bruggen Adviesgroep Cuijk/Boxmeer";"R.J. van Meeteren t.h.o.d.n. Van Bruggen Adviesgroep Cuijk/Boxmeer";"Cuijk"
"R.J.M. de Kort";"R.J.M. de Kort";"Berkel-Enschot"
"R.L. Systems";"R.L. Systems, R.L. Systems";"OUD-BEIJERLAND"
"R.M.P.A. Meijer beheer-assurantiën-onroerend goed";"R.M.P.A. Meijer beheer-assurantiën-onroerend goed";"'s-Gravenhage"
"R.O.J. Pol t.h.o.d.n. Tabaktief De Esch";"R.O.J. Pol t.h.o.d.n. Tabaktief De Esch, R.O.J. Pol t.h.o.d.n. Tabaktief De Esch, R.O.J. Pol t.h.o.d.n. Primera Nijverdal, R.O.J. Pol t.h.o.d.n. Primera Oldenzaal";"Almelo"
"R.P Consultancy";"R.P Consultancy, R.P Insurance";"Amsterdam"
"R.S. Tewarie Financiële Diensten B.V.";"R.S. Tewarie Financiële Diensten B.V.";"'S-GRAVENHAGE"
"R.S.T. Insurance & Finance B.V.";"R.S.T. Insurance & Finance BV, R.S.T.Insurance & Finance B.V., R.S.T. Insurance & Finance B.V.";"AMSTELVEEN"
"R.T.M. Winkel B.V.";"R.T.M. Winkel B.V., Firinco";"ROOSENDAAL EN NISPEN"
"R.V.N.";"R.V.N.";"Hoogeveen"
"R.W. van Schaik en Zn.";"R.W. van Schaik en Zn., R.W. van Schaik en Zn.";"Oudewater"
"RA Bewindvoering Nederland";"RA Bewindvoering Nederland";"Dronten"
"Raad op Maat B.V.";"Raad op Maat B.V., Raad op Maat, De Hypotheekshop Wijk bij Duurstede";"UTRECHT"
"Raadgevend Bureau mr. A.J. Andriesen";"Raadgevend Bureau mr. A.J. Andriesen, Raadgevend Bureau mr. A.J. Andriesen";"'s-Gravenhage"
"Raadgevers Kuijkhoven";"Kuijkhoven Adviesgroep, Raadgevers Medische Beroepen, Raadgevers Vrije Beroepen, Raadgevers Kuijkhoven, TandartsenPensioen";"De Bilt"
"Raadgevers Pensioen B.V.";"Raadgevers Pensioen B.V., Nationalevoordeelpolis.nl";"DE BILT"
"Raadhoven B.V.";"Raadhoven VerzuimRegie, Raadhoven Particulier, Raadhoven Zakelijk, Raadhoven B.V., Raadhoven, Raadhoven Assurantiën, Raadhoven B.V., Raadhoven Intermediair Organisatie, Raadhoven MedZorg";"VEENENDAAL"
"Raadhuis Makelaardij Someren V.O.F.";"Raadhuis Makelaardij Someren V.O.F., Raadhuis Assurantien, Raadhuis Hypotheken, Raadhuis Makelaars";"Someren"
"Raadschelders en Zn.";"Raadschelders en Zn.";"Kudelstaart"
"Raadsheeren B.V.";"Raadsheeren B.V., Molenbeek & Willemsen B.V., Poliskliniek, Raadsheeren B.V., Raadsheeren Willemsen & Boot, Raadsheren Assurantiën, Willemsen & Partners";"BILTHOVEN"
"Raadveste";"Raadveste Advies Bureau, Raadveste";"Duiven"
"Raadzaam Advies V.O.F.";"Raadzaam Advies V.O.F.";"Belfeld"
"Raaijmakers & de Mol Advies";"Raaijmakers & de Mol Advies";"Heeswijk-Dinther"
"Raaijmakers Financieel PlanBuro B.V.";"Raaijmakers Financieel PlanBuro B.V.";"HAAREN"
"Raak Totaaladvies B.V.";"maartjes belofte holding bv, Raak Totaaladvies B.V.";"HOOGEZAND"
"Raasveld & Bennis Financieel Adviseurs";"Raasveld & Bennis Pensioen Consultants, Raasveld & Bennis Financieel Adviseurs, Raasveld Bennis Financieel Planners";"Monster"
"Raat Adviesgroep B.V.";"Raat Corporate Insurance, Raat Adviesgroep, RAAT Adviesgroep BV, RAAT Hypotheken, Raat Adviesgroep B.V.";"UTRECHT"
"Raat Hypotheken B.V.";"Raat Hypotheken B.V.";"UTRECHT"
"Raat Pensioen & Inkomen B.V.";"Raat Pensioen & Inkomen B.V.";"UTRECHT"
"RAB Assuradeuren B.V.";"RAB Assuradeuren B.V.";"RIJSSEN"
"Rabbit Bikestore v.o.f.";"Rabbit Bikestore v.o.f.";"Elshout"
"Rabo Direct Financiering B.V.";"Rabo Direct Financiering B.V., De Lage Landen Consumer Finance, De Lage Landen International B.V., Freo";"EINDHOVEN"
"RABO Financieringsmaatschappij B.V.";"RABO Financieringsmaatschappij B.V.";"EINDHOVEN"
"Rabo Groen Bank B.V.";"Rabo Groen Bank B.V.";"UTRECHT"
"Rabo Herverzekeringsmaatschappij N.V.";"Rabo Herverzekeringsmaatschappij N.V.";"UTRECHT"
"Rabobank Ireland Plc";"Rabobank Ireland Plc";"Dublin"
"Racehof Scooters";"Racehof Scooters";"Tilburg"
"RACING TEAM H.J.M. spol.";"RACING TEAM H.J.M. spol.";"LETY"
"Rademaker en Hendriks C.V.";"Rademaker en Hendriks C.V., Rademaker & Hendriks C.V., Rademaker-Hendriks Regio Bank";"Annen"
"Radio - T.V. Duynstee B.V.";"Radio - T.V. Duynstee B.V.";"TEYLINGEN"
"Radio Bakker Alkmaar";"Radio Bakker Alkmaar";"Alkmaar"
"Radio Bakker Heiloo";"Radio Bakker Heiloo";"Heiloo"
"Radrema Auto's B.V.";"Radrema Auto's B.V., Radrema Auto's B.V.";"MAASTRICHT"
"Raedskamer B.V.";"Raedskamer B.V., De Raedskamer-Huizenbeurs, Raedskamer - Beter Advies, Raedskamer - huisadvertenties, Raedskamer-Assurantie Collectief, Raedskamer-Huisadvertenties (NL), Raedskamer-Woonportaal (NL)";"GEMEENTE LEEUWARDEN"
"Raedtgever Jack Meulensteen B.V.";"Raedtgever Jack Meulensteen B.V., De Raedtgevers";"WEERT"
"Raema Caravans B.V.";"Raema Caravans B.V.";"GEMEENTE NEDERWEERT"
"Raethuys Assurantiën B.V.";"hetraadhuisfd.nl, Raethuys Assurantiën B.V.";"HEERHUGOWAARD"
"Raetshagen Assuradeuren B.V.";"Raetshagen Assuradeuren B.V.";"ALKMAAR"
"Raetsheren van Orden Actuarissen B.V.";"Raetsheren van Orden Actuarissen B.V.";"ALKMAAR"
"Raetsheren van Orden B.V.";"Raetsheren van Orden B.V.";"ALKMAAR"
"Raetsheren van Orden Consulting B.V.";"Raetsheren van Orden Consulting B.V.";"LEEUWARDEN"
"Raetsheren van Orden Groep B.V.";"Raetsheren van Orden Groep B.V.";"ALKMAAR"
"Raetstate Assurantiën B.V.";"Raetstate Assurantiën B.V., Raetstate Assurantiën";"WAALWIJK"
"Raetstate Hypotheek Advies B.V.";"Raetstate Hypotheek Advies, Raetstate Hypotheek Advies B.V.";"HELVOIRT"
"Raev-advies B.V.";"Raev-advies B.V., Hypocom, Hypokeur, Raev-advies, Goedkoper4all";"BARENDRECHT"
"Rafael Macias Car­rasco";"Rafael Macias Car­rasco";""
"Ragetlie Financieel Advies";"Ragetlie Financieel Advies, Ragetlie Financieel Advies";"Berkel en Rodenrijs"
"Raiffeisen Versicherungs- und Bauspar-Agentur GmbH";"Raiffeisen Versicherungs- und Bauspar-Agentur GmbH";"Wien"
"Raiffeisen Zentralbank Österreich Aktiengesellschaft";"Raiffeisen Zentralbank Österreich A.G., Raiffeisen Zentralbank Österreich Aktiengesellschaft";"WIEN"
"Raiffeisenbank Annaberg- Lungotz registrierte GEnossenschaft mit Beschrankter haftung";"Raiffeisenbank Annaberg- Lungotz registrierte GEnossenschaft mit Beschrankter haftung";""
"Raiffeisenbank Maishofen-Thumersbach eGen";"Raiffeisenbank Maishofen-Thumersbach eGen";""
"Raiffeisenbank Radstadt-Untertauern-Filzmoois-Forstau registrierte Genossenschaft mit Beschrankter Haftung";"Raiffeisenbank Radstadt-Untertauern-Filzmoois-Forstau registrierte Genossenschaft mit Beschrankter Haftung";""
"Raiffeisenbank St. Stefan-Jagerberg-Wolfsberg  eGen";"Raiffeisenbank St. Stefan-Jagerberg-Wolfsberg  eGen";"St. Stefan im Rosental"
"Raiffeisenkasse Werfen registrierte Genossenschaft mit beschrankter Haftung";"Raiffeisenkasse Werfen registrierte Genossenschaft mit beschrankter Haftung";""
"Raiffeisenlandesbank Oberösterreich Aktiengesellschaft";"Raiffeisenlandesbank Oberösterreich AG, Raiffeisenlandesbank Oberösterreich Aktiengesellschaft";"LINZ"
"Raiffeisen-Leasing Anlagen und KFZ Vermietungs GmbH";"Raiffeisen-Leasing Anlagen und KFZ Vermietungs GmbH";""
"Raiffeisen-Leasing Fuhrparkmanagement Gesellschaft m.b.H.";"Raiffeisen-Leasing Fuhrparkmanagement Gesellschaft m.b.H.";""
"Raiffeisen-Leasing Mobilien und KFZ GmbH";"Raiffeisen-Leasing Mobilien und KFZ GmbH";""
"Raimund Eduard Flitsch";"Raimund Eduard Flitsch";""
"Raimund Josef Jutz";"Raimund Josef Jutz";"Feldkirch"
"Rainer Roithner";"Rainer Roithner";"Polsenz"
"Raisin Gmbh";"Raisin Gmbh";""
"Rajwant Singh Ghotra";"Rajwant Singh Ghotra";""
"Rakers Financial Consultancy";"Rakers Financial Consultancy";"Borne"
"Ralf Pirker";"Ralf Pirker";""
"Ralf Werner Tait";"Ralf Werner Tait";"GERMERING"
"Ralmar B.V.";"Ralmar B.V., Spauwen Assurantiën, Ralmar Advies, Sarclee";"GEMEENTE VALKENBURG AAN DE GEUL"
"Ralston Bennett Financial Planning Limited";"Ralston Bennett Financial Planning Limited";"HOLYWOOD - DOWN"
"Ramerman & Onnink Financiele Planning C.V.";"Ramerman & Onnink Financiele Planning C.V.";"Winterswijk"
"Ramerman & Onnink Verzekeringsadviseurs";"Ramerman & Onnink Verzekeringsadviseurs";"Winterswijk"
"Ramkema Assurantien B.V.";"Ramkema-Van Hoogen Assurantien, Ramkema Assurantien B.V., Assurantie-  en Makelaarsbedrijf Ramkema, Hypotheekcentrum Leek, Hypotheekcentrum Ooststellingwerf, Hypotheek Centrum Leek, Makelaardij Leek, Ramkema Assurantiën B.V., Van Hoogen Assurantien, Van Hoogen Assurantiën, Van Hoogen Hypotheken";"OOSTERWOLDE, GEMEENTE OOSTSTELLINGWERF"
"Ramoco Koese B.V.";"Autobedrijf Koese, Renault Koese, Ramoco Koese B.V.";"MIDDELHARNIS"
"Ramon International Insurance Brokers Limited";"Ramon International Insurance Brokers Limited";""
"Ramora B.V.";"Ramora B.V.";"AMSTERDAM"
"Ram's Insurance";"Ram's Insurance, Ram's Insurance";"Rotterdam"
"Ramsay, Jost & Krall Versicherungsmakler GmbH";"Ramsay, Jost & Krall Versicherungsmakler GmbH";""
"Randell Dorling Ltd.";"Randell Dorling Ltd.";""
"Randolf Moser";"Randolf Moser";"GRAZ"
"Randstad Financieel Adviesgroep B.V.";"Randstad Financieel Adviesgroep B.V.";"VLAARDINGEN"
"Randstad Risk Assurantiën & Risicobeheer";"Randstad Risk Assurantiën & Risicobeheer";"Schiedam"
"Rangestage Limited";"Rangestage Limited";""
"Ransijn Finance";"Ransijn Finance, Verserdi, Assuransijn, Finzee, Hypotheekaanzee, 1hypotheekadvies";"Noordwijk"
"Rap Elektrische Fietsen B.V.";"Rap Elektrische Fietsen B.V.";"Tilburg"
"RAP Verzekeringen & Hypotheken";"RAP Verzekeringen & Hypotheken";"Heerenveen"
"RapidOffice.nl B.V.";"RapidOffice.nl B.V., RapidOffice.nl";"NIEUWEGEIN"
"Rappange Verzekeringen B.V.";"A.J. Driessen & Rappange Verzekeringen, Rappange Verzekeringen B.V.";"AMSTERDAM"
"Rappórt Amsterdam Oost";"Rappórt Amsterdam Oost";"Amsterdam"
"Rapport Arjen Scheer";"Rapport Arjen Scheer";"Emmeloord"
"Rappórt B.V.";"Rappórt B.V., Rappórt B.V.";"WEESP"
"Rappórt Benno Ruiter";"Rappórt Benno Ruiter";"Loenersloot"
"Rappórt Jan-Willem Mercx, Bewindvoering en Inkomensbeheer";"Rappórt Jan-Willem Mercx, Bewindvoering en Inkomensbeheer";"Almere"
"Rapport Rotterdam Zuid V.O.F.";"Rapport Rotterdam Zuid V.O.F.";"Hellevoetsluis"
"Rappórt Simon Vonk";"Rappórt Simon Vonk";"Nieuwehorne"
"RAS Holding B.V.";"Financieel Fit Hoofddorp, Financieel Fit Uithoorn, RAS Holding B.V., De Hypotheekadviseur Hoofddorp, De Hypotheekadviseur Uithoorn";"UITHOORN"
"Ras Makelaars Hypotheken & Assurantiën V.O.F.";"Ras Makelaars Hypotheken & Assurantiën V.O.F., Ras Makelaars Hypotheken & Assurantiën V.O.F., Ras Makelaars Hypotheken & Assurantien vof";"Zetten"
"Rasini Vigano Limited";"Rasini Vigano Limited";"LONDON"
"Raspoort Assuradeuren B.V.";"Raspoort Assuradeuren B.V.";"HAARLEM"
"Raspoort Assurantie- en Financieringsbedrijf B.V.";"Raspoort Assuradeuren B.V., Raspoort Assurantie Financieringsbedrijf B.V., Raspoort Assurantie- en Financieringsbedrijf B.V.";"HAARLEM"
"RAss-Advies";"RAss-Advies";"Renkum"
"Raswa Mobiliteitscentrum V.O.F.";"Raswa Mobiliteitscentrum V.O.F., Raswa Mobiliteitscentrum V.O.F.";"Beek en Donk"
"Rathbone Pension & Advisory Services Ltd";"Rathbone Pension & Advisory Services Ltd";"LONDON"
"Rational Finance Limited";"Rational Finance Limited";"SWINDON, WILTSHIRE"
"Ratium B.V.";"Ratium B.V., Ratium Financiele Dienstverlening";"VELDHOVEN"
"Ratkai Assurantiën";"Ratkai Assurantiën";"Oegstgeest"
"Rattner MacKenzie Ltd";"Rattner MacKenzie Ltd";""
"Ratzke & Ratzke Versicherungsmakler GmbH";"Ratzke & Ratzke Versicherungsmakler GmbH";""
"Rauwerda Verzekeringen";"RV, Rauwerda Verzekeringen";"Makkinga"
"Ravil Intersurance B.V.";"Ravil Intersurance BV, Ravil Intersurance B.V.";"'S-GRAVENHAGE"
"Raymond James Asset Management International";"Raymond James Asset Management International";"Parijs"
"Raymond James Investment Services Ltd";"Raymond James Investment Services Ltd";"LONDON"
"RAYMOND JAMES PATRIMOINE";"RAYMOND JAMES PATRIMOINE";""
"Raymondial Verzekeringen";"Raymondial Verzekeringen";"Vught"
"RB Motoren B.V.";"RB Motoren B.V., RB Motoren B.V.";"UTRECHT"
"RB TweeWielers";"RB TweeWielers";"Diepenveen"
"RBC Beheer B.V.";"RBC Beheer B.V., WeFinance";"MAARHEEZE"
"RBC Europe Limited";"RBC Europe Limited";"LONDON"
"RBC Financieel Advies B.V.";"SNS Bank, RBC Financieel Advies B.V.";"REUVER GEMEENTE BEESEL"
"RBG Assurantiën B.V.";"RBG-Hoofddorp, RBG Assurantiën B.V., FSB-RBG-Assurantiën";"HOOFDDORP"
"RBS Holdings N.V.";"RBS Holdings N.V.";"AMSTERDAM"
"RBS Hollandsche N.V.";"RBS Hollandsche N.V.";"ROTTERDAM"
"RC Risk-Concept Versicherungsmakler GmbH";"RC Risk-Concept Versicherungsmakler GmbH";"WIEN"
"RCI Banque S.A.";"RCI Banque S.A.";"NOISY LE GRAND"
"RCI Financial Services B.V.";"Can Lease, Mobilease, Nissan Finance, Nissan Financial Services, Nissan Lease, Overlease, Renault Business Finance, Renault Financial Services, RCI Financial Services, RCI Financial Services B.V., Dacia Financial Services";"AMSTERDAM"
"RCPOLIZZA.IT SRL";"RCPOLIZZA.IT SRL";""
"RDO Assurantiën Goed";"RDO Assurantiën Goed";"Oosterbeek"
"RDV Verzekeringen";"RDV Verzekeringen";"Heerenveen"
"RDVA Hypotheekadvies en Financiële Planning B.V.";"RDVA Hypotheekadvies en Financiële Planning B.V.";"GEMEENTE HAARLEM"
"Re Verus Assurantiën";"Re Verus Assurantiën";"Venray"
"Real Garant Versicherung AG";"Real Garant Versicherung AG";"NEUHAUSEN AUF DEN FILDERN"
"Real Independance";"Real Independance, Hol & Pol Hypotheken";"Zeewolde"
"REAL MERINO BARRERAS & ASOCIADOS, CORREDURIA DE SEGUROS Y REASEGUROS, S.A.";"REAL MERINO BARRERAS & ASOCIADOS, CORREDURIA DE SEGUROS Y REASEGUROS, S.A.";""
"Real, Merino, Barreras & Asociados, Correduria De Seguros Y Reaseguros, S.A.";"Real, Merino, Barreras & Asociados, Correduria De Seguros Y Reaseguros, S.A.";""
"Realkanzlei Edlauer Immobilientreuhänder GmbH & Co.KG";"Realkanzlei Edlauer Immobilientreuhänder GmbH & Co.KG";"Pölten"
"Reason Global Insurance Limited";"Reason Global Insurance Limited";""
"Rebel Insurance Services B.V.";"Rebel Insurance Services B.V., Rebel Insurance Services B.V.";"AMSTERDAM"
"REBEL Internet B.V.";"REBEL Internet B.V.";"AMSTERDAM"
"Rebels in Finance";"Rebels in Finance";"Tilburg"
"Rebl Sabine";"Rebl Sabine";""
"REBO Retail";"REBO Retail, REBO Retail";"Groningen"
"Rebus Advies";"Rebus Advies";"Oudega"
"Rechová, Jana";"Rechová, Jana";""
"Record Bank N.V.";"Record Bank N.V.";"EVERE"
"RECOUVRANCE 56";"RECOUVRANCE 56";"Montesson"
"Recreatie Zeker";"Recreatie Zeker, Bruiloft Zeker, Recreatiehuis Zeker, Watersport Zeker, Camper Zeker, Vakantie Zeker, Motorzeker.nl, Kampeerpolis.nl, Vakantiehuis Zeker";"De Kwakel"
"Recreatieverzekeringen.nl";"Recreatieverzekeringen.nl";"Zevenaar"
"RED Online Marketing B.V.";"RED Online Marketing B.V.";"VOORSCHOTEN"
"Redam B.V.";"Redam B.V.";"ZEIST"
"Redderadvies";"Redderadvies, Redderadvies";"Balkbrug"
"Redeker Verzekeringen en Financiële            Dienstverlening B.V.";"Redeker Verzekeringen en Financiële            Dienstverlening B.V., REDEKER Beheer bv, Redeker Verzekeringen";"ALKMAAR"
"Redholm Underwriting Agents Limited";"Redholm Underwriting Agents Limited";""
"Reditus Advies B.V.";"Reditus Advies B.V.";"NIJKERK"
"Redmore Solutions B.V.";"T&P Solutions, Talent&Pro Solutions, Redmore Solutions B.V.";"AMSTERDAM"
"Redwood Business Insurance Services Ltd";"Redwood Business Insurance Services Ltd";"Essex"
"REE - Risk Engineering Europe GmbH";"REE - Risk Engineering Europe GmbH";""
"Reekers Assurantiën";"Reekers Assurantiën, Reekers Assurantiën";"Joure"
"Reekers Rijwielen De Laaresch";"Reekers Rijwielen De Laaresch";"Enschede"
"Reekers Verzekeringen B.V.";"Reekers Verzekeringen B.V., Reekers Verzekeringen";"APELDOORN"
"Reerink Rijwielen";"Reerink Rijwielen";"Arnhem"
"Rees Astley Insurance Brokers Limited";"Rees Astley Insurance Brokers Limited";"Powys"
"Refina B.V.";"Refina B.V.";"NIJVERDAL"
"Reforestacion Grupo Internacional RGI s.a.";"R.G.I. s.a., Reforestacion Grupo Internacional RGI s.a.";"San Jose, Costa Rica"
"Regeer Financieel Advies";"Regeer Financieel Advies";"Wijchen"
"RegelingFD";"RegelingFD, RegelingFD";"Amersfoort"
"Regency Shipping Limited";"Regency Shipping Limited";""
"Regenersis Digital Care AB";"Regenersis Digital Care AB";""
"Regent Healthcare Limited";"Regent Healthcare Limited";"LEICESTER, LEICESTERSHIRE"
"Regent Insurance Brokers (Europe) GmbH";"Regent Insurance Brokers (Europe) GmbH";"BREMEN"
"Regent Marine Insurance Brokers GmbH";"Regent Marine Insurance Brokers GmbH";""
"Regio Advies Groep Dussen B.V.";"Regio Advies Groep Dussen B.V.";"DUSSEN, GEMEENTE WERKENDAM"
"Regio Verzekeringen Marken";"Regio Verzekeringen Marken, Regio Verzekeringen Marken";"Marken"
"Regio VVV Lauwersland";"VVV-ANWB Dokkum, Regio VVV Lauwersland";"DOKKUM"
"Regiohypotheekburo B.V.";"'t Regiohypotheekburo, 't Regiohypotheekburo Financiële Diensten & Pensioenen, 't Regiohypotheekburo Onafhankelijke Adviezen, 't Regiohypotheekburo Onafhankelijke Adviezen in Financiële Diensten en Pensioenen, Floris' Hand, Regiohypotheekburo, Regiohypotheekburo B.V.";"DONGEN"
